Time,Lat,Long,SS-RSRP,PCI
36:49.7,37.380321,-120.808853,-74.3,512
36:50.1,37.380321,-120.808853,-75.9,512
36:50.6,37.380321,-120.808853,-74.1,512
36:51.1,37.380321,-120.808853,-76.1,512
36:51.6,37.380321,-120.808853,-73.8,512
36:51.7,37.380322,-120.808855,-73.8,512
36:52.2,37.380322,-120.808855,-75.6,512
36:52.7,37.380322,-120.808855,-70.1,512
36:52.7,37.380322,-120.808856,-70.1,512
36:53.2,37.380322,-120.808856,-70.2,512
36:53.7,37.380322,-120.808856,-70.3,512
36:54.2,37.380322,-120.808856,-70.2,512
36:54.7,37.380322,-120.808856,-73.6,512
36:55.2,37.380322,-120.808856,-75.8,512
36:55.7,37.380322,-120.808856,-77.2,512
36:56.2,37.380322,-120.808856,-72.8,512
36:56.7,37.380322,-120.808856,-72.2,512
36:57.2,37.380322,-120.808856,-74.2,512
36:57.7,37.380322,-120.808856,-75.3,512
36:58.2,37.380322,-120.808856,-75.6,512
36:58.7,37.380322,-120.808856,-75.8,512
36:59.2,37.380322,-120.808856,-75.6,512
36:59.7,37.380322,-120.808856,-75.8,512
37:00.2,37.380322,-120.808856,-77,512
37:00.7,37.380322,-120.808856,-74.6,512
37:01.2,37.380322,-120.808856,-73.4,512
37:01.7,37.380322,-120.808856,-72.6,512
37:02.2,37.380322,-120.808856,-71.6,512
37:03.2,37.380322,-120.808856,-72.8,512
37:03.7,37.380322,-120.808857,-72.8,512
37:03.7,37.380322,-120.808857,-74.2,512
37:04.2,37.380322,-120.808857,-74.4,512
37:04.7,37.380322,-120.808857,-74.3,512
37:05.3,37.380322,-120.808857,-74.2,512
37:05.8,37.380322,-120.808857,-76.7,512
37:06.3,37.380322,-120.808857,-74.9,512
37:06.8,37.380322,-120.808857,-73.9,512
37:07.3,37.380322,-120.808857,-75.4,512
37:07.8,37.380322,-120.808857,-75.3,512
37:08.3,37.380322,-120.808857,-76.2,512
37:08.8,37.380322,-120.808857,-76.6,512
37:09.3,37.380322,-120.808857,-77.7,512
37:09.8,37.380322,-120.808857,-77.8,512
37:10.3,37.380322,-120.808857,-78.3,512
37:10.8,37.380322,-120.808857,-80,512
37:11.3,37.380322,-120.808857,-78.1,512
37:11.8,37.380322,-120.808857,-79.5,512
37:12.3,37.380322,-120.808857,-75.5,512
37:12.8,37.380322,-120.808857,-76.7,512
37:13.3,37.380322,-120.808857,-75.2,512
37:13.8,37.380322,-120.808857,-76.2,512
37:14.3,37.380322,-120.808857,-76.3,512
37:14.8,37.380322,-120.808857,-75.5,512
37:15.3,37.380322,-120.808857,-74.9,512
37:15.7,37.380323,-120.808857,-74.9,512
37:15.8,37.380323,-120.808857,-74.7,512
37:16.3,37.380323,-120.808857,-73.8,512
37:16.8,37.380323,-120.808857,-76.2,512
37:17.3,37.380323,-120.808857,-75.6,512
37:17.8,37.380323,-120.808857,-74.8,512
37:18.3,37.380323,-120.808857,-76.6,512
37:18.8,37.380322,-120.808857,-76.6,512
37:18.8,37.380322,-120.808857,-77.1,512
37:19.3,37.380322,-120.808857,-75.1,512
37:19.8,37.380322,-120.808857,-73.2,512
37:20.3,37.380322,-120.808857,-70.6,512
37:20.8,37.380322,-120.808857,-74.7,512
37:21.3,37.380322,-120.808857,-68,512
37:21.8,37.380322,-120.808857,-70.5,512
37:22.3,37.380322,-120.808857,-73.1,512
37:22.9,37.380322,-120.808857,-72,512
37:23.4,37.380322,-120.808857,-74.8,512
37:23.9,37.380322,-120.808857,-69.9,512
37:24.4,37.380322,-120.808857,-73.8,512
37:24.9,37.380322,-120.808857,-73,512
37:25.4,37.380322,-120.808857,-72.4,512
37:25.9,37.380322,-120.808857,-74.7,512
37:26.4,37.380322,-120.808857,-76.8,512
37:26.9,37.380322,-120.808857,-76.3,512
37:27.4,37.380322,-120.808857,-75.3,512
37:27.9,37.380322,-120.808857,-75.9,512
